benchmark,leaderboard_rank,model_name,leaderboard_budget_field,leaderboard_budget_value,public_token_value,public_token_unit,public_token_note,report_token_value_used_for_tpm,report_token_unit_used_for_tpm,token_disclosure_status,encoding_note,tpm_estimate_from_report,source_reference,source_reference_note
LongVideoBench,1,GPT-4o (0513),max_frames,256,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass; report uses standardized 196 tokens/frame baseline for TPM comparability.,"[836.3, 3345.1]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,2,Aria,max_frames,256,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass; report uses standardized 196 tokens/frame baseline for TPM comparability.,"[836.3, 3345.1]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,3,LLaVA-Video-72B-Qwen2,max_frames,128,169,tokens/frame,Visual Representation Configurations table reports 169 visual tokens per frame.,169,tokens/frame,public_fixed_tokens_per_frame,LLaVA-Video publicly reports fixed visual tokens per frame in the configuration table.,"[360.5, 1442.1]",https://longvideobench.github.io/ ; https://openreview.net/pdf?id=8Livf4oZxz ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: Official paper table reports 169 visual tokens/frame. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,4,Gemini-1.5-Pro (0514),max_frames,256,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass; report uses standardized 196 tokens/frame baseline for TPM comparability.,"[836.3, 3345.1]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,5,LLaVA-OneVision-Qwen2-72B-OV,max_frames,32,196,tokens/frame,HF Transformers docs say videos are pooled to a total sequence length of 196 tokens each frame.,196,tokens/frame,public_fixed_tokens_per_frame,SigLIP vision encoder + Qwen2 backbone; videos are pooled to 196 tokens/frame in public docs.,"[104.5, 418.1]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: Official HF docs; videos pooled to 196 tokens/frame. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,6,LLaVA-Video-7B-Qwen2,max_frames,128,169,tokens/frame,Visual Representation Configurations table reports 169 visual tokens per frame.,169,tokens/frame,public_fixed_tokens_per_frame,LLaVA-Video publicly reports fixed visual tokens per frame in the configuration table.,"[360.5, 1442.1]",https://longvideobench.github.io/ ; https://openreview.net/pdf?id=8Livf4oZxz ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: Official paper table reports 169 visual tokens/frame. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,7,Gemini-1.5-Flash (0514),max_frames,256,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass; report uses standardized 196 tokens/frame baseline for TPM comparability.,"[836.3, 3345.1]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,8,GPT-4-Turbo (0409),max_frames,256,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass; report uses standardized 196 tokens/frame baseline for TPM comparability.,"[836.3, 3345.1]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,9,InternVL2-40B,max_frames,16,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public video token count located in this pass for the leaderboard run.,"[52.3, 209.1]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,10,mPLUG-Owl3-7B,max_frames,128,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public video token count located in this pass for the leaderboard run.,"[418.1, 1672.5]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
